epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.607,0.60162,2.87676,0.93194,0.99356,0.99719,0.99498,0.98647,0.2198,0.31575,0.77787,2.16033e-05,2.16033e-05,2.16033e-05
2,365.175,0.34905,0.54316,0.8615,0.99839,0.99976,0.995,0.9945,0.15033,0.18732,0.76277,3.47025e-05,3.47025e-05,3.47025e-05
3,550.867,0.29888,0.38076,0.84606,0.99845,0.99983,0.995,0.99484,0.13445,0.16765,0.75986,3.92217e-05,3.92217e-05,3.92217e-05
4,741.412,0.26403,0.31283,0.83844,0.99928,0.99997,0.995,0.99498,0.11291,0.14505,0.75748,2.639e-05,2.639e-05,2.639e-05
5,932.505,0.23755,0.26981,0.83366,0.99934,0.9998,0.995,0.99498,0.09761,0.12881,0.75611,1.352e-05,1.352e-05,1.352e-05
