epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.919,0.5494,2.45705,0.91851,0.99555,0.99864,0.99499,0.99119,0.17696,0.21454,0.76393,2.16197e-05,2.16197e-05,2.16197e-05
2,471.572,0.31594,0.44383,0.85213,0.99863,0.99957,0.995,0.99492,0.12693,0.15011,0.75606,2.90018e-05,2.90018e-05,2.90018e-05
3,710.329,0.26691,0.32669,0.83771,0.99918,0.9998,0.995,0.99494,0.10348,0.13094,0.75402,2.2084e-05,2.2084e-05,2.2084e-05
