epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,816.894,0.41193,1.57728,0.91859,0.99579,0.99982,0.995,0.99414,0.13795,0.16427,0.76958,2.16555e-05,2.16555e-05,2.16555e-05
2,1635.69,0.26994,0.33565,0.86961,0.99786,0.99989,0.995,0.99491,0.11409,0.14194,0.76502,3.47444e-05,3.47444e-05,3.47444e-05
3,2442.74,0.21984,0.23141,0.8543,0.99919,1,0.995,0.99499,0.08153,0.09233,0.75933,3.92532e-05,3.92532e-05,3.92532e-05
4,3281.46,0.18226,0.18461,0.84216,0.99951,1,0.995,0.99498,0.06861,0.07763,0.75776,2.639e-05,2.639e-05,2.639e-05
5,4118.42,0.15152,0.15068,0.83279,0.9996,1,0.995,0.99499,0.05576,0.06331,0.75584,1.352e-05,1.352e-05,1.352e-05
